1131097911	000.00%
119352665	000.00%
19662843	000.00%
222705183	000.00%
271929199	000.00%
286920761	000.00%
303244183	000.00%
305278869	000.00%
337871199	000.00%
35982347	000.00%
35982351	000.00%
467913183	000.00%
53609375	000.00%
74724641	000.00%
86771707	000.00%
961560607	000.00%
288635203	000.01%
989951199	000.02%
1529171	000.03%
272453487	000.03%
337052381	000.03%
321463511	000.04%
34943395	000.04%
357922939	000.04%
268569043	000.05%
274473343	000.05%
5514359	000.05%
286720217	000.08%
70522145	000.08%
120943039	000.10%
270734677	000.10%
357914747	000.10%
89477447	000.10%
18883575	000.12%
23933327	000.12%
21197149	000.14%
370150291	000.17%
556800567	000.19%
917845951	000.20%
19210487	000.21%
289477427	000.22%
355537267	000.22%
465955551	000.23%
18306115	000.27%
19364679	000.33%
276126587	000.34%
30503903	000.35%
285283123	000.39%
2169667	000.41%
276001343	000.48%
340352759	000.61%
620320063	000.62%
117509501	000.81%
252268471	000.82%
40984861	001.15%
656785335	001.16%
55534403	001.23%
348602327	001.26%
385978743	001.31%
286656637	001.34%
387779773	001.34%
2000778335	001.35%
1664294111	001.61%
5582889	001.74%
4223855	001.90%
286662953	001.99%
371218715	001.99%
229970431	002.16%
348471807	002.22%
369101715	002.25%
85348375	002.34%
387860903	002.56%
308357879	002.66%
119352409	002.73%
1571814719	002.87%
159475001	003.00%
325019149	003.22%
271724437	003.88%
72495613	003.89%
354243677	003.97%
341858271	004.23%
342120407	004.55%
1441217495	005.00%
287863439	005.81%
899936575	005.82%
434721787	005.84%
57762077	005.93%
1467419031	006.15%
148599	006.47%
1774942559	006.60%
279671	007.44%
1148277247	007.83%
2128247	008.21%
303246231	009.07%
1571814847	010.24%
306260727	012.18%
270762335	013.00%
1607850863	017.98%
693125407	018.38%
390689871	019.43%
390952015	020.57%
290470261	021.46%
52169719	024.54%
287437695	024.67%
34945111	025.84%
1602612647	028.45%
2067229663	029.43%
18306147	029.74%
2121781755	030.98%
522038591	031.67%
169869925	038.97%
1602616743	039.69%
5582893	040.00%
295826303	043.30%
174064229	043.74%
6321921	048.75%
