1394550711	000.00%
39796607	000.00%
570161215	000.00%
1997872079	000.05%
915895783	000.13%
670825143	000.16%
796240367	000.21%
1937766907	000.30%
2138955675	000.35%
435149755	000.36%
796371439	000.47%
576716671	000.48%
1067448187	000.49%
468840367	000.51%
1843902967	000.66%
928350047	000.79%
761093487	000.88%
1937766911	000.94%
1542062079	001.08%
1131920247	001.12%
670825399	001.19%
903477367	001.41%
1606404927	001.75%
2138832879	002.11%
2105138127	002.88%
1581114815	003.77%
1508604919	004.00%
633732079	004.08%
1509411199	004.32%
1574957535	004.35%
1608248959	004.61%
1339797359	004.65%
558366711	005.37%
2104610251	006.33%
1609165183	006.50%
1832516603	006.68%
1459437535	006.87%
1054845807	007.34%
1507426295	008.15%
1837095919	008.44%
2138832895	008.55%
375117119	008.70%
2105138159	011.01%
1572863871	012.75%
2130575211	014.21%
2105405439	014.61%
536204235	015.80%
2105531375	016.35%
2104313327	018.46%
1608513279	019.06%
1835003291	019.96%
1374674903	020.82%
1575873983	021.40%
1571552247	022.03%
1878523711	023.34%
928382815	023.92%
2096889691	024.41%
1834876815	024.54%
1576922999	024.65%
1467470207	024.90%
1094449663	025.18%
1987047803	027.05%
1542586303	027.39%
1509809383	027.52%
1849024507	028.65%
1843919351	028.80%
1869857775	029.92%
1571544055	030.93%
2121781755	030.98%
2102513103	031.73%
1844968935	031.84%
1541528511	033.08%
1604582399	033.13%
1094711807	034.18%
1836703231	039.27%
1569578679	040.58%
1986523999	044.70%
1869990335	044.88%
2138431387	046.22%
1574641399	046.73%
2088620507	047.68%
903477751	047.79%
1849032699	048.78%
1986524031	050.98%
1570761791	051.07%
1369308151	051.68%
1836959231	052.00%
1509817575	052.90%
1604054655	053.67%
1870119919	056.87%
1171259391	058.18%
1849031675	062.76%
838596671	064.36%
2115104767	064.92%
1542572791	065.28%
1864224175	067.99%
1569586935	071.69%
2099117563	071.86%
2088616447	072.42%
1606537151	072.50%
1869728767	072.83%
1576656383	073.86%
2133981179	074.38%
1576917631	074.74%
1867894687	074.92%
2117196799	075.18%
